name,address,phone,latitude,longitude
Baş ofis,"Y. Səfərov küç, 27, Xətai, Bakı, Azərbaycan AZ1025",(994 12) 499 79 95 / 96,40.3875256,49.8662766
Sənaye Filialı,"Əhməd Cəmil, küç, 51 Yasamal, Bakı, Azərbaycan",(994 12) 510 97 75,40.3968257,49.8629681
Əcəmi Filialı,"Cavadxan küçəsi, ev 11, 3005-ci məhəllə, Nəsimi, Bakı, Azərbaycan",(994 12) 430 26 50,40.4667969,49.8435877
Həzi Aslanov Filialı,"M. Hadi küç., 65, Xətai r-nu, Bakı, Azərbaycan",(994 12) 499 79 64,40.3938109,49.9539603
Gənclik 1 Şöbəsi,"Ağa Neymətulla küç, ev 38, m 10, Nərimanov, Bakı, Azərbaycan",(994 12) 599-00-26/27,40.5366868,50.0195463
Gəncə Filialı,"Atatürk prospeskti, 234, Gəncə ş., Azərbaycan",(022) 266-60-95/96/97,40.6798083,46.3597178
Azadlıq Filialı,"Bakıxanov küçəsi, Azadlıq prospekti 128P, Bakı, Azərbaycan",(994 12) 599-00-41,40.4373767,49.7235103
Sumqayıt Filialı,"3-cü məhəllə, Azadlıq küçəsi 7, 6/21, Sumqayıt ş.",(018) 654-38-80 (018) 654-38-81 (018) 654-38-82 (018) 654-38-87,40.7039350,49.6576930
