name,address,phone,working_hours,latitude,longitude
Baş Ofis – Mərkəz filialı,"Bakı şəhəri Nəsimi rayonu, 628-ci məhəllə, Cəlil Məmmədquluzadə küçəsi 73 G.",həftə içi : (+994 12) 497 77 9524/7 : *0444,Həftə içi 09:00-18:00 (kassa bağlanır 17:00),40.3755885,49.8328009
Cəfər Cabbarlı Filialı,"Azərbaycan, Bakı şəhəri, Cəfər Cabbarlı küçəsi, 32/12",həftə içi : (+994 12) 497 77 95,Həftə içi 09:00-18:00 (kassa bağlanır 17:00),40.3853619,49.8288542
Memar Əcəmi Filialı,"Azərbaycan, Bakı şəhəri, Cavadxan küçəsi, 3005-ci məhəllə",həftə içi : (+994 12) 497 77 95,Həftə içi 09:00-18:00 (kassa bağlanır 17:00),40.3755885,49.8328009
Sumqayıt Filialı,"Azərbaycan, Sumqayıt şəhəri, Sülh küç.",həftə içi : (+994 12) 497 77 95,Həftə içi 09:00-18:00 (kassa bağlanır 17:00),40.5741050,49.6417905
Əhmədli Filialı,"Azərbaycan ,Bakı şəhəri, Xətai rayonu, Sarayevo küç.,3",həftə içi : (+994 12) 497 77 95,Həftə içi 09:00-18:00 (kassa bağlanır 17:00),40.3867268,49.9548306
Səbail Filialı,"Bakı şəhəri, Səbail rayonu,Nizami küçəsi 69",(+994 12) 497 77 95,Həftə içi 09:00-18:00 (kassa bağlanır 17:00),40.3726563,49.8396752
28 May Filialı,"Azərbaycan ,Bakı şəhəri, Rəşid Behbudov küç.,8",həftə içi : (+994 12) 497 77 95,Həftə içi 09:00-18:00 (kassa bağlanır 17:00),40.3729379,49.8479199
Nərimanov Metropark Filialı,"Azərbaycan, Bakı şəhəri. Təbriz Küçəsi, 106A",,,40.3950964,49.8603743
