name,address,latitude,longitude
Baş Ofis,"Yusif Məmmədəliyev küç. 13, Bakı, AZ1005, Azərbaycan",40.3706625,49.8391633
"Bridge Plaza"" şöbəsi","Bakixanov küç. 6, Bakı, AZ1065, Azərbaycan",40.4373767,49.7235103
"Port Baku"" şöbəsi","Neftçilər pr. 153, Bakı, AZ1010, Azərbaycan",40.3757723,49.8620964
"Landmark"" şöbəsi","Nizami küç. 96E, Landmark I, Bakı, AZ1010, Azərbaycan",40.3713060,49.9850706
"Sədərək"" şöbəsi","Sədərək Ticarət Mərkəzi, Qaradağ, Bakı, AZ1063, Azərbaycan",40.3266072,49.7766034
“Gəncə” filialı,"Nizami rayonu, Atatürk pr., 242, Gəncə şəhəri, Azərbaycan",40.6760023,46.3559534
“Zaqatala” filialı,"F. Əmirov küç. 57A, Zaqatala şəhəri, Azərbaycan",41.6201812,46.6510403
"Quba"" filialı","Xurşidbanu Natəvan küç. 35, Quba şəhəri, Azərbaycan",41.1880893,48.3721452
