name,license_number,address,latitude,longitude,working_hours,phone,whatsapp,email,info_center,fax
Baş ofis,175 (23 noyabr 2018),"Bakı ş., AZ 1110,Həsən Əliyev küç.,131A",40.404526,49.857265,09:00-17:00 (I-V),(+99412) 4048000,+994554408000,,(+994 12) 931,(+994 12) 498 2042
"Filial ""№1""",175/1 (03 dekabr 2018),"Nizami küç., 86 (yenilənmiş 142A)",40.375477,49.848900,09:00-17:00 (I-V),(+994 12) 4048000,,,(+994 12) 931,
"Filial ""№2""",175/5 (03 dekabr 2018),,40.468369,50.053024,,(+994 12) 4048000,,,(+994 12) 931,
"Filial ""№5""",175/4 (03 dekabr 2018),"Həsən Əliyev küç., 4/186",40.397141,49.825100,09:00-17:00 (I-V),(+994 12) 4048000,,,(+994 12) 931,
1 Saylı şöbə,175/Ş-1 (03 dekabr 2018),,40.468891,50.053024,,(+994 12) 4048000,,,(+994 12) 931,
Gəncə filialı,175/3 (03 dekabr 2018),,40.739323,46.300507,,(+994 12) 4048000,,,(+994 12) 931,
Lənkəran filialı,175/9 (03 dekabr 2018),,38.758099,48.806591,,(+99412) 4048000,,,(+994 12) 931,
Qəbələ şöbəsi,,,40.981972,47.853699,,(+99412) 4048000,+994554408000,,(+994 12) 931,
